 Kanton;  Wahljahr;FDP;  CVP;  SP;  SVP;  Dem.;LPS;  LdU;  EVP;  CSP;  DSP;  GLP;  BDP;  PdA;  PSA;  POCH;  GPS;FGA;  Sol.;  SD;  Rep.;  EDU;  FPS;  Lega;  MCR;  LS;  JB;  Front;  Grüt;Übrige;  Total
Bern;2010;17  ;1  ;35  ;44  ;;;;10  ;;;4  ;25  ;;3  ;;16  ;;;0  ;;5  ;;;;;;;;0  ;160  
Bern;2010;17  ;1  ;35  ;44  ;;;;10  ;;;4  ;25  ;;3  ;;16  ;;;0  ;;5  ;;;;;;;;0  ;160  
Bern;2014;17  ;0  ;33  ;49  ;;;;12  ;;;11  ;14  ;0  ;3  ;;16  ;0  ;;0  ;;5  ;;;;;;;;0  ;160  
Bern;2014;17  ;0  ;33  ;49  ;;;;12  ;;;11  ;14  ;0  ;3  ;;16  ;0  ;;0  ;;5  ;;;;;;;;0  ;160  
Bern;2014;17  ;0  ;33  ;49  ;;;;12  ;;;11  ;14  ;0  ;3  ;;16  ;0  ;;0  ;;5  ;;;;;;;;0  ;160  
Freiburg;1971;30  ;57  ;29  ;9  ;;;;;5  ;;;;;;;;;;;;;;;;;;;;;130  
Freiburg;1971;30  ;57  ;29  ;9  ;;;;;5  ;;;;;;;;;;;;;;;;;;;;;130  
Freiburg;1976;31  ;57  ;29  ;9  ;;;;;4  ;;;;;;;;;;;;;;;;;;;;;130  
Freiburg;1981;29  ;47  ;33  ;9  ;;;;;12  ;;;;;;;;;;;;;;;;;;;;;130  
Freiburg;1986;27  ;50  ;32  ;10  ;;;;;11  ;;;;;;;;0  ;;;;;;;;;;;;;130  
Freiburg;1991;24  ;46  ;29  ;10  ;;;;;9  ;7  ;;;;;;;4  ;;;;;;;;;;;;1  ;130  
Freiburg;1991;24  ;46  ;29  ;10  ;;;;;9  ;7  ;;;;;;;4  ;;;;;;;;;;;;1  ;130  
Freiburg;1996;25  ;45  ;32  ;8  ;;;;0  ;10  ;5  ;;;;;;2  ;;;;;;;;;;;;;3  ;130  
Freiburg;2001;26  ;45  ;26  ;16  ;;;;0  ;10  ;4  ;;;;;;1  ;;;;;;;;;;;;;2  ;130  
Freiburg;2006;19  ;37  ;25  ;18  ;;;;1  ;4  ;;;;;;;3  ;;;;;0  ;;;;;;;;3  ;110  
Freiburg;2006;19  ;37  ;25  ;18  ;;;;1  ;4  ;;;;;;;3  ;;;;;0  ;;;;;;;;3  ;110  
Freiburg;2006;19  ;37  ;25  ;18  ;;;;1  ;4  ;;;;;;;3  ;;;;;0  ;;;;;;;;3  ;110  
Freiburg;2006;19  ;37  ;25  ;18  ;;;;1  ;4  ;;;;;;;3  ;;;;;0  ;;;;;;;;3  ;110  
Freiburg;2011;17  ;31  ;29  ;21  ;;;;0  ;4  ;;2  ;2  ;;;;3  ;;;;;;;;;;;;;1  ;110  
Freiburg;2011;17  ;31  ;29  ;21  ;;;;0  ;4  ;;2  ;2  ;;;;3  ;;;;;;;;;;;;;1  ;110  
Freiburg;2011;17  ;31  ;29  ;21  ;;;;0  ;4  ;;2  ;2  ;;;;3  ;;;;;;;;;;;;;1  ;110  
Freiburg;2011;17  ;31  ;29  ;21  ;;;;0  ;4  ;;2  ;2  ;;;;3  ;;;;;;;;;;;;;1  ;110  
Freiburg;2011;17  ;31  ;29  ;21  ;;;;0  ;4  ;;2  ;2  ;;;;3  ;;;;;;;;;;;;;1  ;110  
Freiburg;2016;21  ;27  ;28  ;21  ;;;;;4  ;;1  ;0  ;;;;6  ;;;;;;;;;;;;;2  ;110  
Genf;1969;23  ;20  ;21  ;;;18  ;0  ;;;;;;18  ;;;;;;;;;;;;;;;;;100  
Genf;1973;22  ;17  ;18  ;;;16  ;0  ;;;;;;17  ;;;;;;;10  ;;;;;;;;;0  ;100  
Genf;1977;17  ;15  ;24  ;;;20  ;;;;;;;16  ;;;;;;;8  ;;;;;;;;;0  ;100  
Genf;1981;19  ;13  ;26  ;;;25  ;;;;;;;10  ;;;;;;;7  ;;;;;;;;;0  ;100  
Genf;1985;15  ;13  ;18  ;;;19  ;;;;;;;8  ;;;8  ;;;;19  ;;;;;;;;;0  ;100  
Genf;1989;13  ;14  ;21  ;0  ;;22  ;;;;;;;8  ;;;13  ;;;;9  ;;0  ;;;;;;;;100  
Genf;1993;15  ;14  ;15  ;0  ;;27  ;;;;;;;21  ;;;8  ;;;;;;;;;;;;;0  ;100  
Genf;1997;14  ;12  ;22  ;;;23  ;;;;;;;19  ;;;10  ;;;0  ;;;;;;;;;;0  ;100  
Genf;2001;12  ;12  ;19  ;10  ;;23  ;;;;;;;13  ;;;11  ;;;;;;;;;;;;;0  ;100  
Genf;2005;12  ;12  ;17  ;11  ;;23  ;;;;;;;0  ;;;16  ;;0  ;;;;;;9  ;;;;;0  ;100  
Genf;2005;12  ;12  ;17  ;11  ;;23  ;;;;;;;0  ;;;16  ;;0  ;;;;;;9  ;;;;;0  ;100  
Genf;2009;11  ;11  ;15  ;9  ;;20  ;;;;;;;;;;17  ;;;;;;;;17  ;;;;;0  ;100  
Genf;2009;11  ;11  ;15  ;9  ;;20  ;;;;;;;;;;17  ;;;;;;;;17  ;;;;;0  ;100  
Genf;2009;11  ;11  ;15  ;9  ;;20  ;;;;;;;;;;17  ;;;;;;;;17  ;;;;;0  ;100  
Genf;2009;11  ;11  ;15  ;9  ;;20  ;;;;;;;;;;17  ;;;;;;;;17  ;;;;;0  ;100  
Genf;2013;24  ;11  ;15  ;11  ;;;;;;;0  ;0  ;1  ;;;10  ;;5  ;;;;;;20  ;;;;;3  ;100  
Genf;2013;24  ;11  ;15  ;11  ;;;;;;;0  ;0  ;1  ;;;10  ;;5  ;;;;;;20  ;;;;;3  ;100  
Genf;2013;24  ;11  ;15  ;11  ;;;;;;;0  ;0  ;1  ;;;10  ;;5  ;;;;;;20  ;;;;;3  ;100  
Genf;2013;24  ;11  ;15  ;11  ;;;;;;;0  ;0  ;1  ;;;10  ;;5  ;;;;;;20  ;;;;;3  ;100  
Glarus;1971;27  ;14  ;12  ;22  ;;;;;;;;;;;;;;;;;;;;;;;;;2  ;77  
Glarus;1974;25  ;16  ;15  ;19  ;;;;;;;;;;;;;;;;;;;;;;;;;2  ;77  
Glarus;1978;25  ;17  ;15  ;20  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;77  
Glarus;1982;27  ;17  ;14  ;22  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;80  
Glarus;1986;24  ;17  ;13  ;24  ;;;;;;;;;;;;;;;;;;;;;;;;;2  ;80  
Glarus;1990;23  ;15  ;15  ;22  ;;;;;;;;;;;;3  ;;;;;;;;;;;;;2  ;80  
Glarus;1994;26  ;15  ;14  ;21  ;;;;;;;;;;;;3  ;;;;;0  ;;;;;;;;1  ;80  
Glarus;1998;24  ;13  ;15  ;21  ;;;;;;;;;;;;5  ;;;;;0  ;;;;;;;;2  ;80  
Glarus;2002;26  ;13  ;12  ;21  ;;;;;;;;;;;;6  ;;;;;0  ;;;;;;;;2  ;80  
Glarus;2006;23  ;12  ;12  ;26  ;;;;;;;;;;;;6  ;;;;;0  ;;;;;;;;1  ;80  
Glarus;2006;23  ;12  ;12  ;26  ;;;;;;;;;;;;6  ;;;;;0  ;;;;;;;;1  ;80  
Glarus;2006;23  ;12  ;12  ;26  ;;;;;;;;;;;;6  ;;;;;0  ;;;;;;;;1  ;80  
Glarus;2010;12  ;6  ;8  ;17  ;;;;;;;;10  ;;;;7  ;;;;;0  ;;;;;;;;;60  
Glarus;2010;12  ;6  ;8  ;17  ;;;;;;;;10  ;;;;7  ;;;;;0  ;;;;;;;;;60  
Glarus;2010;12  ;6  ;8  ;17  ;;;;;;;;10  ;;;;7  ;;;;;0  ;;;;;;;;;60  
Glarus;2010;13  ;6  ;8  ;16  ;;;;;;;;10  ;;;;7  ;;;;;0  ;;;;;;;;;60  
Glarus;2014;12  ;6  ;7  ;17  ;;;;;;;2  ;9  ;;;;7  ;;;;;;;;;;;;;0  ;60  
Glarus;2014;12  ;6  ;7  ;17  ;;;;;;;2  ;9  ;;;;7  ;;;;;;;;;;;;;0  ;60  
Glarus;2014;12  ;6  ;7  ;17  ;;;;;;;2  ;9  ;;;;7  ;;;;;;;;;;;;;0  ;60  
Graubünden;1969;32  ;36  ;8  ;37  ;;;;;;;;;;;;;;;;;;;;;;;;;;113  
Graubünden;1971;29  ;38  ;8  ;38  ;;;;;;;;;;;;;;;;;;;;;;;;;;113  
Graubünden;1973;31  ;43  ;8  ;38  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;;120  
Graubünden;1975;31  ;39  ;7  ;42  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;;120  
Graubünden;1977;27  ;41  ;8  ;43  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;1  ;120  
Graubünden;1979;28  ;39  ;9  ;42  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;1  ;120  
Graubünden;1981;28  ;39  ;10  ;40  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;2  ;120  
Graubünden;1983;28  ;36  ;9  ;42  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;4  ;120  
Graubünden;1985;28  ;40  ;5  ;42  ;;;1  ;;;;;;;;;;;;;;;;;;;;;;4  ;120  
Graubünden;1987;30  ;38  ;10  ;40  ;;;;;;;;;;;;;;;;;;;;;;;;;2  ;120  
Graubünden;1989;27  ;38  ;6  ;41  ;;;;;3  ;4  ;;;;;;;1  ;;;;;;;;;;;;1  ;120  
Graubünden;1991;24  ;39  ;8  ;42  ;;;;;3  ;2  ;;;;;;;1  ;;;;;;;;;;;;1  ;120  
Graubünden;1994;26  ;38  ;7  ;41  ;;;;;3  ;2  ;;;;;;;;;;;;;;;;;;;3  ;120  
Graubünden;1997;27  ;38  ;10  ;40  ;;;;;3  ;1  ;;;;;;;;;;;;;;;;;;;1  ;120  
Graubünden;2000;34  ;37  ;13  ;33  ;;;;;;1  ;;;;;;;;;;;;;;;;;;;2  ;120  
Graubünden;2003;29  ;40  ;13  ;33  ;;;;;;1  ;;;;;;;;;;;;;;;;;;;4  ;120  
Graubünden;2006;33  ;35  ;14  ;32  ;;;;;;1  ;;;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2006;33  ;35  ;14  ;32  ;;;;;;1  ;;;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2006;33  ;35  ;14  ;32  ;;;;;;1  ;;;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2010;38  ;33  ;12  ;4  ;;;;;;;2  ;26  ;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2010;38  ;33  ;12  ;4  ;;;;;;;2  ;26  ;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2010;38  ;33  ;12  ;4  ;;;;;;;2  ;26  ;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2010;38  ;33  ;12  ;4  ;;;;;;;2  ;26  ;;;;;;;;;;;;;;;;;5  ;120  
Graubünden;2014;33  ;31  ;15  ;9  ;;;;;;;2  ;28  ;;;;;;;;;;;;;;;;;2  ;120  
Graubünden;2014;33  ;31  ;15  ;9  ;;;;;;;2  ;28  ;;;;;;;;;;;;;;;;;2  ;120  
Graubünden;2014;33  ;31  ;15  ;9  ;;;;;;;2  ;28  ;;;;;;;;;;;;;;;;;2  ;120  
Jura;1978;14  ;21  ;11  ;1  ;;;;;8  ;;;;2  ;;;;;;;;;;;;;;;;3  ;60  
Jura;1982;16  ;20  ;11  ;1  ;;;;;8  ;;;;1  ;;;;1  ;;;;;;;;;;;;2  ;60  
Jura;1986;16  ;22  ;11  ;1  ;;;;;8  ;;;;1  ;;;;1  ;;;;;;;;;;;;;60  
Jura;1990;15  ;21  ;12  ;1  ;;;;;8  ;;;;0  ;;;;3  ;;;;;;;;;;;;0  ;60  
Jura;1994;15  ;22  ;12  ;1  ;;;;;8  ;;;;;;;0  ;2  ;;;;;;;;;;;;;60  
Jura;1998;14  ;19  ;15  ;1  ;;;;;8  ;;;;1  ;;;;2  ;;;;;;;;;;;;0  ;60  
Jura;2002;12  ;20  ;15  ;2  ;;;;;8  ;;;;1  ;;;;2  ;;;;;;;;;;;;0  ;60  
Jura;2006;11  ;19  ;13  ;3  ;;;;;9  ;;;;2  ;;;2  ;1  ;;;;0  ;;;;;;;;0  ;60  
Jura;2006;11  ;19  ;13  ;3  ;;;;;9  ;;;;2  ;;;2  ;1  ;;;;0  ;;;;;;;;0  ;60  
Jura;2006;11  ;19  ;13  ;3  ;;;;;9  ;;;;2  ;;;2  ;1  ;;;;0  ;;;;;;;;0  ;60  
Jura;2010;8  ;19  ;14  ;4  ;;;;;8  ;;;;1  ;;;4  ;2  ;;;;;;;;;;;;0  ;60  
Jura;2010;8  ;19  ;14  ;4  ;;;;;8  ;;;;1  ;;;4  ;2  ;;;;;;;;;;;;0  ;60  
Jura;2010;8  ;19  ;14  ;4  ;;;;;8  ;;;;1  ;;;4  ;2  ;;;;;;;;;;;;0  ;60  
Jura;2010;8  ;19  ;14  ;4  ;;;;;8  ;;;;1  ;;;4  ;2  ;;;;;;;;;;;;0  ;60  
Jura;2010;8  ;19  ;14  ;4  ;;;;;8  ;;;;1  ;;;4  ;2  ;;;;;;;;;;;;0  ;60  
Jura;2015;9  ;17  ;12  ;8  ;;;;;8  ;;;;2  ;;;4  ;;;;;;;;;;;;;0  ;60  
Jura;2015;9  ;17  ;12  ;8  ;;;;;8  ;;;;2  ;;;4  ;;;;;;;;;;;;;0  ;60  
Luzern;1971;55  ;85  ;11  ;0  ;;;12  ;;3  ;;;;;;;;;;4  ;;;;;;;;;;0  ;170  
Luzern;1975;56  ;88  ;13  ;;;;8  ;;2  ;;;;;;1  ;;;;2  ;0  ;;;;;;;;;;170  
Luzern;1979;58  ;88  ;13  ;;;;3  ;;3  ;;;;;;5  ;;;;0  ;;;;;;;;;;0  ;170  
Luzern;1983;56  ;87  ;12  ;;;;2  ;;2  ;;;;;;10  ;;1  ;;;;;;;;;;;;;170  
Luzern;1987;56  ;85  ;11  ;;;;0  ;;1  ;;;;;;;;17  ;;0  ;;;;;;;;;;0  ;170  
Luzern;1991;57  ;82  ;16  ;;;;0  ;;1  ;;;;;;;13  ;1  ;;0  ;;;;;;;;;;;170  
Luzern;1995;51  ;77  ;18  ;11  ;;;;;1  ;;;;;;;11  ;1  ;;0  ;;;0  ;;;;;;;;170  
Luzern;1999;31  ;48  ;12  ;22  ;;;;;0  ;;;;;;;7  ;;;0  ;;;0  ;;;;;;;;120  
Luzern;2003;28  ;44  ;16  ;26  ;;;;0  ;0  ;;;;;;;6  ;;;;;;;;;;;;;0  ;120  
Luzern;2007;29  ;46  ;13  ;23  ;;;;0  ;;;;;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2007;29  ;46  ;13  ;23  ;;;;0  ;;;;;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2007;29  ;46  ;13  ;23  ;;;;0  ;;;;;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2007;29  ;46  ;13  ;23  ;;;;0  ;;;;;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2011;23  ;39  ;16  ;27  ;;;;;;;6  ;0  ;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2011;23  ;39  ;16  ;27  ;;;;;;;6  ;0  ;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2011;23  ;39  ;16  ;27  ;;;;;;;6  ;0  ;;;;9  ;;;;;;;;;;;;;0  ;120  
